,imdb_rating,length,rank_in_year,year
count,437.0,437.0,437.0,437.0
mean,7.076659038901602,119.87185354691076,5.524027459954233,1996.6475972540045
std,0.8202733967437302,22.744332079442795,2.8698838449748987,12.63039601981032
min,4.4,27.0,1.0,1975.0
25%,6.5,103.0,3.0,1986.0
50%,7.1,118.0,6.0,1997.0
75%,7.7,134.0,8.0,2008.0
max,9.0,201.0,10.0,2018.0
